#object field RA DEC radius_aper(arcsecs) uJava F378 F395 F410 F430 gSDSS F515 rSDSS F660 iSDSS F861 zSDSS e_uJava e_F378 e_F395 e_F410 e_F430 e_gSDSS e_F515 e_rSDSS e_F660 e_iSDSS e_F861 e_zSDSS
HW42	MC0115	15.283	-74.074	90	16.632	15.665	15.179	15.072	14.823	14.45	14.257	13.869	13.792	13.549	13.479	13.407	0.346	0.289	0.238	0.151	0.126	0.032	0.074	0.021	0.061	0.021	0.046	0.029
HW42	MC0135	15.283	-74.074	90	16.741	15.876	15.779	15.227	15.131	14.427	14.323	13.816	13.795	13.543	13.591	13.52	0.24	0.205	0.216	0.106	0.095	0.021	0.051	0.015	0.043	0.015	0.033	0.021
NGC458	MC0072	18.717	-71.55	90	12.152	11.677	11.241	11.198	11.175	11.209	11.177	11.203	11.262	11.261	11.289	11.286	0.024	0.026	0.022	0.013	0.012	0.004	0.011	0.004	0.013	0.004	0.01	0.006
NGC458	MC0095	18.717	-71.55	90	12.021	11.543	11.248	11.062	11.039	11.009	11.042	11.1	11.179	11.174	11.24	11.175	0.024	0.026	0.031	0.018	0.017	0.006	0.015	0.006	0.018	0.006	0.014	0.008
K6	MC0113	6.358	-74.076	55	15.766	15.175	14.871	14.509	14.456	14.115	13.937	13.595	13.555	13.313	13.216	13.165	0.127	0.135	0.122	0.063	0.058	0.016	0.038	0.012	0.036	0.012	0.025	0.015
K6	MC0133	6.358	-74.076	50	15.923	15.305	15.002	14.564	14.468	14.108	14.01	13.627	13.59	13.346	13.26	13.207	0.14	0.144	0.129	0.066	0.059	0.017	0.04	0.012	0.037	0.012	0.025	0.015
NGC361	MC0072	15.546	-71.606	140	12.959	12.586	12.407	11.965	11.826	11.462	11.327	10.952	10.926	10.726	10.663	10.609	0.037	0.042	0.042	0.021	0.019	0.005	0.012	0.004	0.011	0.004	0.008	0.004
NGC361	MC0095	15.546	-71.606	100	13.031	12.67	12.518	12.105	11.95	11.539	11.424	11.073	11.036	10.891	10.828	10.771	0.039	0.045	0.058	0.031	0.027	0.008	0.018	0.006	0.017	0.006	0.012	0.007

